schritt,level_id,levelname,rolle,inhaltstyp,mini_game,mindestinhalt,empfehlung,beispiel_kategorie
1,1,Wordwick Hall,Startlevel,vocab,spark-catcher,2 Vokabeln,6-10 einfache Vokabeln,animals
2,10,Spark Practice Grounds,Wiederholung,mixed,text-input,2 gemischte Inhalte,4-8 leichte Wiederholungen,starter mix
3,2,Moonlit Library,Sortierübung,vocab,library-sorter,4 Vokabeln,4-8 klare Nomen,school things
4,4,Sky Practice Yards,Bewegungsübung,vocab,text-input,2 Vokabeln oder Bewegungsphrasen,6-10 Körper- und Bewegungswörter,body actions
5,6,Glasshouse Garden,Themenlevel,vocab,text-input,2 Vokabeln,6-10 Themenwörter,weather
6,3,Wordbrew Workshop,Satzbausteine,mixed,text-input,2 gemischte Inhalte,6-10 kurze Alltagsphrasen,morning routine
7,9,Moonwell Lake,Wiederholung,mixed,text-input,2 gemischte Inhalte,6-12 schwierige Wörter und Phrasen,review
8,8,Wyrm Cave,Phrasenprüfung,mixed,text-input,2 gemischte Inhalte,6-10 längere Phrasen,beach
9,7,Whispering Woods,Übungslevel,vocab,text-input,2 Vokabeln,6-10 Wörter nach Thema,feelings
10,5,Stargazer Tower,Finallevel,mixed,text-input,2 gemischte Inhalte,8-14 gemischte Abschlussaufgaben,final review
